name,address,latitude,longitude,hours,website,phone,nearestSpot,nearestSpotCounty
Hell Cat Maggies,"2, Donegall Square West",54.59697,-5.931746,Check local listings,,,Belfast,
Boot Inn,,53.43189,-6.264282,Check local listings,,,Saint Margaret’s,
Le Monde Café Bar,"21, Store Street, Dublin",53.350192,-6.252762,Check local listings,https://www.beresfordhotelifsc.com/en/bar/,+353 1 8134700,Dublin,
Ballinteer House,"Ballinteer Avenue, Balinteer",53.274764,-6.254596,Check local listings,,,Ballinteer,Dublin
The Old Punch Bowl,"116, Rock Road",53.308766,-6.19666,"Su 12:00-23:00; Mo-Th 11:00-23:30; Fr,Sa 11:00-00:30",http://theoldpunchbowl.ie/,+353-1-283-2356,Booterstown,Dublin
Palmerstown House,"Old Lucan Road, Palmerstown",53.356444,-6.370622,Check local listings,https://palmerstownhousepub.ie/,,Palmerstown,Dublin
Silver Granite,,53.350075,-6.377403,Check local listings,,,Palmerstown,Dublin
The Ark,,53.354152,-6.402867,Check local listings,,,Palmerstown,Dublin
The Barge,"42, Charlemont Street, Dublin",53.330551,-6.260588,Check local listings,https://www.thebarge.ie/,,Rathmines,Dublin
The Gallops,,53.258233,-6.19742,Check local listings,,,Ballyogan,
The Foxhunter,,53.358604,-6.418894,Check local listings,,,Lucan,Dublin
Four Winds,"111, Newton Park",54.555942,-5.893965,Check local listings,https://thefourwinds.co.uk/,,Knockbreda,
The Dirty Duck Alehouse,"2-4, Kinnegar Road, Holywood",54.641086,-5.841285,Check local listings,https://thedirtyduckalehouse.co.uk/,+4428 9059 6666,Holywood,Down
The Bridge Bar,,52.952146,-7.804405,Check local listings,,,Roscrea,
Grace's Bar,,52.943291,-8.043248,Mo-Su 19:00-00:30,,,Cloughjordan,Tipperary
The Fairways Bar,,52.895484,-8.135454,Check local listings,,,Kilruane,
Muls@47,"47, Kenyon Street, Nenagh",52.861343,-8.197462,Check local listings,,,Nenagh,Tipperary
Ryan's The Corner House Pub,"Main Street, Cloughjordan",52.942893,-8.036784,Check local listings,,,Cloughjordan,
The Three Shippes,"18, William Street, Waterford",52.257894,-7.103303,Check local listings,,,Waterford,
Marino House (Kavanagh's),"16, Malahide Road, Dublin",53.365756,-6.228816,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:30-23:00",,+353 1 8332786,Marino,Dublin
The Hurlers,,52.667777,-8.557974,Check local listings,,,Castletroy,Limerick
The Windmill Bar,"48-49, Henry Street, Limerick",52.658578,-8.633742,Check local listings,,,Limerick,
The Clubhouse,,53.308248,-6.22707,Check local listings,,,Clonskeagh,
Dunphy's,,52.217678,-7.382136,Check local listings,,,Newtown,Waterford
O’Neill’s,Tramore,52.163064,-7.153875,Check local listings,,,Tramore,Waterford
Mol’s Bar,"2, Summer Hill, Tramore",52.163026,-7.153714,Check local listings,,,Tramore,Waterford
Robinson’s,"Summer Hill, Tramore",52.162935,-7.15328,Check local listings,,,Tramore,Waterford
Fenton's,,52.983716,-6.552544,Check local listings,,,Glen of Imaal,Wicklow
Goosers,"Main Street, Ballina",52.806998,-8.435667,Check local listings,https://www.goosers.com,+35361376791,Ballina,
The Penny Hill,"Castle Road, Lucan",53.34739,-6.423887,Check local listings,https://pennyhilllucan.ie/,,Lucan,Dublin
Bobby Byrne’s,"3, O'Connell Avenue, Limerick",52.65669,-8.633388,Check local listings,,,Limerick,
The Sailor's Bar,,51.853492,-9.626661,Check local listings,,,Dawros,
Fennessy's,,52.651135,-8.639806,Check local listings,,,Limerick,
Morrisons,,52.644159,-8.557782,Check local listings,,,Ballysimon,
Nellie’s Bar,"Main Street, Lisdoonvarna",53.029901,-9.28988,Check local listings,,,Lisdoonvarna,Clare
Fitzpatrick’s Bar,Doolin,53.016051,-9.377114,Mo-Th 12:00-23:30; Fr-Sa 12:00-00:30; Su 12:00-23:00,https://www.hoteldoolin.ie/fitzs-pub-and-eatery.html,+353657074111,Fitz's Cross,
O'Neills,,52.76097,-8.896472,Check local listings,,,Newmarket on Fergus,Clare
The Pub,,52.760467,-8.895509,Check local listings,,,Newmarket on Fergus,Clare
The Sports Bar,,52.760475,-8.896052,Check local listings,,,Newmarket on Fergus,Clare
Hunters Lodge,,52.760605,-8.896472,Check local listings,,,Newmarket on Fergus,Clare
The Weavers Inn,"Ballycar Road, Newmarket-on-Fergus",52.760627,-8.893277,Check local listings,,,Newmarket on Fergus,Clare
The Hideout,"Main Street, Kilcullen",53.13023,-6.745577,Check local listings,http://hideoutpub.ie,,Kilcullen,Kildare
Bóruma,"8, Lakeside Drive, Ballina",52.808837,-8.438126,Check local listings,,,Ballina,
The Track,,52.660298,-8.613399,Check local listings,,,Limerick,
The Olde Lodge,,52.715015,-8.862067,Check local listings,,,Shannon,Clare
An Tochar Ban,,52.369418,-9.771783,Check local listings,,,Kilmoyly,Kerry
Dew Drop Inn,,52.402623,-9.616555,Check local listings,,,Lixnaw,
J.J.s,,52.404576,-9.616884,Check local listings,,,Lixnaw,
Quilter's Bar,,52.406054,-9.619806,Check local listings,,,Lixnaw,
The Top House,,52.663467,-8.537607,Check local listings,,,Annacotty,
The Bellsfort Inn,,52.737675,-8.905838,Check local listings,,,Newmarket on Fergus,Clare
Nelligan's,,52.668698,-8.554008,Check local listings,,,Castletroy,Limerick
The Lower Deck,"3, Portobello Harbour, Dublin",53.330686,-6.265238,Check local listings,,,Portobello,
South Pole Inn,"Main Street, Annascaul",52.151353,-10.056555,Check local listings,https://www.southpoleinn.com/,+353669157388,Annascaul,
Nora Murphy’s,"Brandon Pier, Brandon",52.268576,-10.160013,Check local listings,https://www.murphysbarbrandon.com/,,Bréanainn,
Arlington Bar & Restaurant,"23-25, Bachelors Walk, Dublin",53.347252,-6.260933,Check local listings,https://www.arlington.ie/dining/,,Dublin,
Bar@Tolka,,53.367676,-6.251268,Check local listings,,,Drumcondra,Dublin
The Crabtree,,52.765285,-8.860146,Check local listings,,,Newmarket on Fergus,Clare
Katie Dalys Heritage Pub and Kitchen,"12, The Parade, Limerick",52.670007,-8.624596,Check local listings,,,Limerick,
Fallon’s,"129, The Coombe, Dublin",53.338984,-6.273376,Check local listings,,,The Liberties,Dublin
Malachy's Bar,,52.815462,-8.861849,Check local listings,,,Quin,Clare
The Wind Jammer,"18, Lombard Street East, Dublin",53.345276,-6.248348,Mo-Su 07:00-24:00,,,North Wall,
The Old Mill,"Old Bawn Road, Tallaght",53.275125,-6.354174,"Mo-Th 11:00-23:00, Fr-Sa 11:00-01:30, Su 12:00-23:00",https://theoldmilltallaght.ie/,,Aylesbury,South Dublin
Boss Murphy's,,52.271477,-8.731478,Check local listings,,,Churchtown,Cork
Pepper's Bar,,52.931065,-8.636892,Check local listings,,,Feakle,
Bohan's Bar,,52.926448,-8.647665,Check local listings,,,Feakle,
The Goalpost,,52.704379,-8.869513,Check local listings,,,Shannon,Clare
Duddys,,53.591289,-9.006161,Check local listings,,,Kilconly,
Bugler's Pub,Ballyboden Road,53.284079,-6.295416,Check local listings,http://www.buglerspub.com/,+353-1-4932358,Ballyboden,
J. Moloney,,52.926117,-8.64939,Check local listings,,,Feakle,
G.M. Shortt,,52.925868,-8.649244,Check local listings,,,Feakle,
Setright's Tavern,,52.693891,-8.757931,Check local listings,,,Cratloe,
Durty Nelly’s,Bunratty,52.696412,-8.811694,Check local listings,https://www.durtynellys.ie/,,Bunratty,
The Creamery Bar,Bunratty,52.696548,-8.813448,Check local listings,,,Bunratty,
The Stags Head Lounge,"Magdalene Street, Drogheda",53.718502,-6.349597,Check local listings,,,Drogheda,
Nolan’s,"Cord Road, Drogheda",53.717456,-6.341164,Check local listings,,,Drogheda,
B McDonnell,"Cord Road, Drogheda",53.717015,-6.343825,Check local listings,,,Drogheda,
Millars,,54.772509,-5.750854,Check local listings,,,Ballycarry,
The Trinity Quarter,"81, Trinity Street, Drogheda",53.716505,-6.3581,Check local listings,,,Drogheda,
Sean Kelly,"Frederick Street, Ashbourne",53.511509,-6.39754,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:00-23:00",http://www.kellyspubashbourne.ie/,+353 1 8350173,Ashbourne,Meath
The Fox's Den,,53.511567,-6.397647,Check local listings,,,Ashbourne,Meath
The Hunter's Moon,,53.512489,-6.398771,Check local listings,,,Ashbourne,Meath
Thomas Hanratty,"Newfoundwell Road, Drogheda",53.719934,-6.341649,Check local listings,,,Drogheda,
Clarke’s,"Saint Peter's Street, Drogheda",53.715939,-6.351163,Check local listings,,,Drogheda,
Sarsfield’s,"128, Cord Road, Drogheda",53.715956,-6.346655,Check local listings,,,Drogheda,
Barry’s of Douglas,"East Douglas Street, Douglas",51.877184,-8.436162,Mo-Su 10:00-01:00,https://www.barrysofdouglas.com/,+353214891370,Douglas,Cork
O’Sullivan’s,"West Douglas Street, Douglas",51.87608,-8.439863,Check local listings,https://www.osullivansbar.ie/,+353 21 489 1416,Douglas,Cork
O'Sullivans Bar,,51.876108,-8.439583,Check local listings,,,Douglas,Cork
Sin É,"8, Coburg Street, Cork",51.90172,-8.471089,Check local listings,,,Cork,
Gallagher’s Gastropub,"32, MacCurtain Street, Cork",51.901537,-8.469954,Check local listings,https://www.gallagherspubcork.com,+353 21 241 5635,Cork,
Caravansary,,52.411826,-8.150031,Check local listings,,,Rossadrehid,
Coach Road Inn,,52.420527,-8.181575,Check local listings,,,Lisvarrinane,
Gallahue's,,52.371494,-8.346874,Check local listings,,,Ballylanders,
Scholars,Parkland Road,53.275094,-6.344953,Mo-Th 10:30-23:30; Fr-Sa 10:30-00:30; Su 12:30-23:00,https://www.scholarspub.ie/,+353-1-451-6757,Firhouse,
Moone High Cross Inn,,52.953008,-6.839932,Check local listings,,,Grangeford Bridge,
Sportsmans Inn,,52.985495,-6.809273,Check local listings,,,Timolin,Kildare
O'Brien's,,52.986696,-6.808115,Check local listings,,,Timolin,Kildare
Keogh’s,"Main Street, Kinvarra",53.138742,-8.937736,Check local listings,,,Kinvarra,
Harkin’s,"6, Echlin Street, Dublin",53.342499,-6.288525,Check local listings,https://harkinsbar.ie,+35315169601,The Liberties,Dublin
Vaughan’s Eagle House,"105-107, Terenure Road North, Dublin",53.310054,-6.283245,Check local listings,,,Terenure,
Brady’s,"5-9, Terenure Place, Dublin",53.309805,-6.284137,Check local listings,,,Terenure,
Mary Willie's,,52.694877,-7.630953,Check local listings,,,Gortnahoe,
Larry Caffrey’s,"27, Mount Street, Mullingar",53.524525,-7.340859,Check local listings,,,Mullingar,
The Crossbar,"Mount Street, Mullingar",53.524212,-7.340904,Check local listings,,,Mullingar,
The Wood,,53.602362,-7.293022,Check local listings,,,Crookedwood,
Paddy Ryan's,,53.392869,-7.58131,Check local listings,,,Horseleap,
Johny Cosgrove’s,"40, Oliver Plunkett Street, Mullingar",53.525111,-7.344005,Check local listings,,,Mullingar,
Con's,"22, Dominick Street, Mullingar",53.523923,-7.349603,Check local listings,,,Mullingar,
Murray’s,"34, Dominick Street, Mullingar",53.524656,-7.346331,Check local listings,,,Mullingar,
The Old Stand,"48, Dominick Street, Mullingar",53.524506,-7.346984,Check local listings,,,Mullingar,
The Newbury Bar,"Dominick Street, Mullingar",53.524292,-7.346875,Check local listings,,,Mullingar,
Maisie’s,"1, Pearse Street, Athlone",53.423387,-7.943683,Check local listings,,,Athlone,
Feeney's Bar,Dromore West,54.249389,-8.874503,Check local listings,,,Dromore West,
Finn’s Bar,"Austin Friars Street, Mullingar",53.52583,-7.336717,Mo-Su 18:00-01:00,,,Mullingar,
Bainbrick’s,"Austin Friars Street, Mullingar",53.525981,-7.336037,Check local listings,,,Mullingar,
The Bleeding Horse,,53.00663,-7.078203,Check local listings,,,Kellyville,
Padraig Pearse,"81, Pearse Street, Dublin",53.343349,-6.244742,Check local listings,,,Charlotte Quay Dock,
The Cuchulainn (Rafferty's),"38-40, Thomas Street, Armagh",54.346081,-6.65423,Check local listings,,,Armagh,
The Jester,"Bridge Street, Westport",53.799537,-9.522423,Check local listings,,,Westport,
Toby’s,"Fairgreen, Westport",53.798991,-9.518201,Check local listings,,,Westport,
The Towers Bar and Restaurant,"The Quay, Westport",53.79962,-9.550608,"PH,Mo-Su 12:00-23:30",https://thetowersbar.com,,Westport Harbour,
The Asgard,,53.799508,-9.550286,Check local listings,,,Westport Harbour,
Sin É,"14, Ormond Quay Upper, Dublin",53.345976,-6.269599,"Mo-We 15:00-01:00, Th 15:00-02:30, Fr-Sa 15:00-15:30, Su 15:00-01:00",,+353 1 555 4036,Dublin,
The Three Counties,,52.908507,-6.932512,Check local listings,,,Killeen,Laois
O'Reilly's,"George's Quay, Dublin",53.347097,-6.254074,Check local listings,,,Dublin,
Matt The Thresher,,52.767529,-8.437542,"Mo-Su,PH 11:00-21:00",,,Birdhill,
The Bull & Castle Bar,"5-7, Christchurch Place, Dublin",53.343457,-6.26987,Check local listings,https://www.thebuckleycollection.ie/bull-castle-steakhouse,,The Liberties,Dublin
Woolshed Baa & Grill,"Parnell Street, Dublin",53.350267,-6.267469,Mo-Tu 12:00-23:30; We 12:00-02:30; Th 12:00-02:00; Fr-Sa 12:00-01:00; Su 12:00-23:00,https://www.woolshedbaa.com/dublin,+35318724325,Dublin,
Oarsman,"Bridge Street, Dublin",53.341667,-6.227753,Check local listings,,,Ringsend,Dublin
John Clarke and Sons,"12-14, Bridge Street, Dublin",53.341687,-6.227584,Check local listings,,,Ringsend,Dublin
The Vintage Inn,"74, Irishtown Road, Dublin",53.338688,-6.222932,Check local listings,,,Irishtown,Dublin
The Merry Cobbler,"78–82, Irishtown Road, Dublin",53.338584,-6.2226,Check local listings,,,Irishtown,Dublin
Sandymount House,"1, Sandymount Green, Sandymount",53.332389,-6.215278,Check local listings,,,Sandymount,Dublin
O’Reilly’s,"5, Seafort Avenue, Sandymount",53.332825,-6.215243,Check local listings,,,Sandymount,Dublin
Horse Show House,"34-36, Merrion Road, Dublin",53.32852,-6.228928,Check local listings,https://www.horseshowhouse.ie/,+35316689424,Ballsbridge,Dublin
Paddy Cullen,"14, Merrion Road, Dublin",53.329018,-6.230281,Check local listings,https://www.paddycullens.com/,,Ballsbridge,Dublin
Mary Mac’s,"12, Merrion Road, Dublin",53.329048,-6.230373,Check local listings,https://www.paddycullens.com/,,Ballsbridge,Dublin
Crowe’s,"10, Merrion Road, Dublin",53.329108,-6.230561,Check local listings,http://crowespub.ie/,,Ballsbridge,Dublin
The Ramble Inn,,52.609852,-6.304991,Check local listings,,,Ballycanew,
Jimmyz,,52.639136,-6.235837,Check local listings,,,Riverchapel,Wexford
Ambrose Moloney's,"19, Harbour Court, Courtown",52.645089,-6.229441,Check local listings,,+353 53 942 5148,Courtown,Wexford
Redmond's The 19th,"Main Street, Courtown",52.644945,-6.228665,Check local listings,,+353 53 942 5330,Courtown,Wexford
The Coach House,"Esmonde Street, Gorey",52.676654,-6.290721,Check local listings,,,Gorey,
The Crosses,,52.510783,-6.285741,Check local listings,,,Kilmuckridge,Wexford
Bryan's,,52.673631,-8.670571,Check local listings,,,Caherdavin,
The Terenure Inn,"94-96, Terenure Road North, Dublin",53.311356,-6.283055,"Mo-Th 10:30-23:30, Fr-Sa 10:30-00:30, Su 12:30-23:00",https://theterenureinn.ie/,+353 1 4907552,Terenure,
Finnegan’s,Annacotty,52.67231,-8.517993,Check local listings,,,Annacotty,
Yellow Bridge,,52.809164,-8.327852,Check local listings,,,Killoscully,
Five Alley,,52.841849,-8.260946,Check local listings,,,Newtown,
Delaney’s,Ballyroan,52.948352,-7.304381,Check local listings,,,Ballyroan,
Whelan’s,Ballyroan,52.949076,-7.304127,Check local listings,,,Ballyroan,
The Tipperary Inn,,52.850929,-8.034928,Check local listings,,,Toomevara,
The Coopers,,52.767258,-8.437534,Check local listings,,,Birdhill,
Bolands of Ballyhane,,52.749205,-8.452737,Check local listings,,,Coosane,
Michael Herbert,,52.693415,-8.500683,Check local listings,,,Ballinacourty,
Paddy the Farmer’s,"15, Old Blackrock Road, Cork",51.892736,-8.465756,Check local listings,,,South Parish,
Ferry Boat Inn,"Main Street, Ringaskiddy",51.830118,-8.319662,Check local listings,,,Ringaskiddy,Cork
The Abbey Tavern,"54, Gillabbey Street, Cork",51.893883,-8.482874,Check local listings,,,Greenmount,
The Drake,"Lower Road, Crosshaven",51.804141,-8.297673,Check local listings,,,Crosshaven,
The Oar,"Lower Road, Crosshaven",51.804173,-8.297743,16:00-00:30,,,Crosshaven,
Hamlets of Kinsale,"The Glen, Kinsale",51.706698,-8.522755,Check local listings,https://www.hamletsofkinsale.com,+353 21 477 2209,Kinsale,
Flannery’s,"Glasheen Road, Cork",51.885508,-8.499818,Check local listings,https://www.flannerysglasheenroad.com,+353 21 434 1596,Glasheen,
Hugh Murphy,Kilcock,53.400732,-6.666207,Check local listings,,,Kilcock,Kildare
Gregory's Tavern,"The Square, Kilcock",53.400148,-6.66763,Mo-Fr 10:00-23:30; Sa-Su 10:00-00:30,https://thegregorytavern.ie/,,Kilcock,Kildare
The Shamrock Bar,"Shanbally, Ringaskiddy",51.832248,-8.354017,Check local listings,,,Shanbally,
O’Brien’s,"22-23, Emily Square, Athy",52.992064,-6.983081,Check local listings,http://www.obriensbar.com/,,Athy,
William Blake’s,"6, Church Street, Enniskillen",54.345738,-7.64023,Check local listings,,+44 28 6632 2143,Enniskillen,
The C.I. Bar,"33, Leinster Street, Athy",52.992267,-6.984138,Check local listings,,,Athy,
Ann’s Place,"34, Leinster Street, Athy",52.992311,-6.983956,Check local listings,,,Athy,
The Duke,"44, Duke Street, Athy",52.991618,-6.987118,Check local listings,,,Athy,
McEvoy’s,"78, Leinster Street, Athy",52.992956,-6.978897,Check local listings,,,Athy,
The Black Swan,"The Square, Annacotty",52.668313,-8.529247,Check local listings,,,Annacotty,
Old Mill Pub,,52.519896,-8.716225,Check local listings,,,Croom,Limerick
The Corner House,,52.51911,-8.717546,Check local listings,,,Croom,Limerick
Hickey's Pub,,52.518776,-8.717884,Check local listings,,,Croom,Limerick
Rocky’s,"Kenyon Street, Nenagh",52.864186,-8.19865,Check local listings,,,Nenagh,Tipperary
The Black Lion,"207A, Emmet Road, Dublin",53.33958,-6.320806,Check local listings,,,Inchicore,Dublin
The Saint,"Emmet Road, Dublin",53.339562,-6.318691,Check local listings,,,Inchicore,Dublin
Ballymore Inn/The high Chaparral,,51.863524,-8.253315,Check local listings,,,Cóbh,Cork
Peig's,"7-8, McDonagh Street, Nenagh",52.864458,-8.196403,Check local listings,,,Nenagh,Tipperary
McMahon’s,"Main Street, Maynooth",53.381619,-6.590202,Check local listings,,,Maynooth,Kildare
Doyles Pub,,52.504154,-6.608987,Check local listings,,,Enniscorthy,Wexford
Anchor Inn,"Bridge Street, Killaloe",52.807124,-8.440129,Check local listings,,,Killaloe,
The Berehaven,,51.910913,-8.473441,Check local listings,,,Blackpool,
Horseshoe Inn,,51.88499,-8.467224,Check local listings,,,Turner's Cross,
The Kiln,"Leitrim Street, Cork",51.903707,-8.472858,"""private venue""",,,Shandon,
Glen Rovers Club House,,51.916476,-8.464713,Check local listings,,,Dublin Hill,
New Bar,"College Road, Cork",51.893824,-8.489872,Mo-Th 10:00-23:30; Fr 10:00-21:00,https://www.ucc.ie/en/anml/retail/hamishs/,,The Mardyke,
Hayes,Ballacolla,52.882514,-7.446558,Check local listings,,,Ballacolla,
Ollie Hayes Pub,"Main Street, Moneygall",52.879726,-7.956795,Check local listings,,,Moneygall,
Lowes Bar,"27, Dolphin's Barn Street",53.333764,-6.290637,Check local listings,,,Dolphin's Barn,Dublin
The Bird Flanagan,"471-477, South Circular Road, Dublin",53.336546,-6.299192,Check local listings,,,Rialto,
Teach Billie,,55.121174,-8.133059,Check local listings,,,Gort a' Choirce,Donegal
Behan’s,Crettyard,52.856891,-7.070632,Check local listings,,+353564442108,Graham's Cross,
Peter O'Hagan's,,54.043971,-6.410742,Check local listings,,,Lurgankiel,
Furlong's New Geneva Bar,,52.238427,-6.972265,Check local listings,,,Passage East,
The Anchor Bar,,51.852219,-8.281579,Check local listings,,,Cóbh,Cork
The Quarry Cock,"2, John O'Connell Street, Cobh",51.852716,-8.294633,Check local listings,,,Cóbh,Cork
Traveller's Rest,,53.714122,-6.469245,Check local listings,,,Tullyallen,
Caoch O’Leary,Ballacolla,52.882932,-7.446161,Check local listings,,,Ballacolla,
The Glenside Bar,Carlow,52.848207,-6.990798,Check local listings,,,Killeshin,
Hogan’s Bar,"36, George's Street Great South, Dublin",53.341993,-6.26461,Check local listings,,,Dublin,
The Bloody Stream,"Howth Road, Howth",53.388979,-6.074362,Check local listings,,+35318395076,Howth,Dublin
Cotton Mill,,52.285862,-7.317913,Check local listings,,,Portlaw,Waterford
The Eagle's Nest,,52.797819,-8.190466,Check local listings,,,Dolla,
Forge Bar,,52.442389,-8.165602,Check local listings,,,Brookville,Tipperary
Tí Joe Watty’s,Kilronan,53.123974,-9.670886,Check local listings,https://www.joewattys.com,+353 86 0494509,Cill Rónáin,
Oskars,,52.241035,-7.067265,Check local listings,,,Little Island,
Dolan’s,"3-4, Dock Road, Limerick",52.658832,-8.638209,Check local listings,https://www.dolans.ie,+353 61 314 483,Limerick,
The Cleaboy,,52.256319,-7.138435,Check local listings,,,Waterford,
The Central Bar,"13-15, High Street, Carrickfergus",54.714665,-5.806296,Check local listings,https://www.jdwetherspoon.com/pubs/all-pubs/n-ireland/county-antrim/the-central-bar-carrickfergus,,Carrickfergus,
Muriel's,"12-14, Church Lane, Belfast",54.600085,-5.925373,Check local listings,,,Belfast,
The Swan Inn,The Swan,52.889064,-7.160226,Check local listings,,,The Swan,Laois
Fleming’s,"Main Street, Ballylynan",52.862985,-7.107982,Check local listings,,,Newtown,Laois
Molloy’s The Foxes Covert,"Main Street, Tallaght",53.28794,-6.359407,Check local listings,,,Tallaght,Dublin
Hickey's,,53.082783,-6.798007,Check local listings,,,Calverstown,
Padraigs,Dock Road,53.270166,-9.051883,Check local listings,,,Claddagh,Galway
Brennan's,,53.107015,-6.762707,Check local listings,,,Old Kilcullen,Kildare
Liam O’Riain’s,"Main Street, Ballina",52.807649,-8.436263,Check local listings,,,Ballina,
The Courtyard,,53.643176,-6.660155,Check local listings,,,Johnstown,
Pitstop Sports Bar,,53.647375,-6.654026,Check local listings,,,Johnstown,
The Junction,,52.498243,-8.20617,Check local listings,,,Limerick Junction,
Ryan's Pub,,52.561552,-8.329009,Check local listings,,,Pallasgreen,Limerick
Headen’s Bar,Spink,52.901784,-7.223014,Check local listings,,,Spink,
Glue Pot,,51.866161,-8.331497,Check local listings,,,Glenbrook,Cork
Criterion,,51.869204,-8.333965,Check local listings,,,Passage West,Cork
J Barry,,51.870009,-8.334725,Check local listings,,,Passage West,Cork
Crosskeys,,53.104816,-7.015853,Check local listings,,,Kildangan,
McGarry’s Bar,"238, Harold's Cross Road, Dublin",53.321699,-6.279531,Check local listings,,,Harold's Cross,Dublin
Coman's,"Terenure Road East, Dublin",53.312007,-6.274806,Check local listings,https://comans.ie/,,Rathgar,
Reddans,"44, Pearse Street, Nenagh",52.864373,-8.197716,Check local listings,,,Nenagh,Tipperary
O’Looney’s,Lahinch,52.932898,-9.34724,Check local listings,,,Lahinch,
The Captain's Table,,52.933058,-9.346951,Check local listings,,,Lahinch,
Flanagan’s,"Main Street, Lahinch",52.932866,-9.346128,Check local listings,https://www.westernherd.com/our-bar,+353874567427,Lahinch,
The Cornerstone Bar,"Main Street, Lahinch",52.93208,-9.346099,Check local listings,,,Lahinch,
Kenny’s Bar,"Main Street, Lahinch",52.931666,-9.345889,Mo-Th 15:00-23:30; Fr 12:30-00:30; Sa 10:30-00:30; Su 12:30-00:30,,,Lahinch,
The Stables,,52.673015,-8.570792,Check local listings,,,Castletroy,Limerick
Fogarty's,"45, Summerhill, Nenagh",52.867245,-8.19572,Check local listings,,,Nenagh,Tipperary
The Greyhound Bar,,52.849769,-8.034873,Check local listings,,,Toomevara,
Martin's,,53.097887,-6.915786,Check local listings,,,Kildoon,
Harty's Pub,,52.849868,-8.036572,Check local listings,,,Toomevara,
Josie Moloney's,,52.850371,-8.03572,Check local listings,,,Toomevara,
J P Mooneys,"1, Nassau Street, Dublin",53.342149,-6.254844,Check local listings,,,Dublin,
Phil Grimes,"60, Johnstown, Waterford",52.255236,-7.109951,Check local listings,,+35351875759,Waterford,
Zanzibar,"18, High Street, Waterford",52.260461,-7.108587,Check local listings,https://www.zanzibar.ie/,,Waterford,
The Gingerman,"6, Arundel Lane, Waterford",52.260564,-7.111415,Check local listings,,,Waterford,
The Orchard,,53.471293,-6.232234,Check local listings,,,Swords,Dublin
Oyster Tavern Pub & Restruant,,52.276146,-9.78051,Mo-Sa 16:00-21:30; Su 12:30-20:00,,,Blennerville,
The Jolly Beggar,,54.67499,-5.988007,Check local listings,,,Mallusk,
The Stillhouse,"61, Main Street",54.480735,-6.225878,Check local listings,,,Moira,
Pretty Marys,"86, Main Street",54.481358,-6.225504,Check local listings,,,Moira,
Anseo,"18, Camden Street Lower, Dublin",53.335323,-6.264995,Check local listings,https://anseo.pub/,,Portobello,
Fidelity,"79, Queen Street, Dublin",53.347102,-6.280292,Check local listings,https://www.fidelitybar.ie/,,Stoneybatter,
Frank Ryan’s,"5, Queen Street, Dublin",53.347006,-6.280049,Mo-Th 16:00-23:30; Fr-Sa 16:00-00:30; Su 18:00-23:00,,,Stoneybatter,
Stapletons,,52.282677,-7.069536,Check local listings,,,Slieverue,Kilkenny
The Doffer,"10, Donegall Square South, Belfast",54.595875,-5.930599,Check local listings,,,Belfast,
The Basement,,54.596417,-5.928358,Check local listings,,,Belfast,
Katy's Bar,"17, Ormeau Avenue, Belfast",54.592853,-5.928684,Check local listings,,,Belfast,
The Halfway House,,52.830925,-8.980138,Check local listings,,,Ennis,Clare
Bar No. 8,"8, Dock Road",53.270258,-9.051669,Check local listings,https://eight.ie/,,Claddagh,Galway
Rowan Tree Inn,,52.013322,-9.850715,Check local listings,,,Glencar,Kerry
O’Dwyer’s,"Maynooth Road, Dunboyne",53.419436,-6.476361,Check local listings,,,Dunboyne,Meath
Slevin’s,"Maynooth Road, Dunboyne",53.419218,-6.476446,Check local listings,,,Dunboyne,Meath
The Gaelic Bar,"Strand Road, Carrigaline",51.812858,-8.392172,Check local listings,,+353214372269,Carrigaline,Cork
Bridge Bar,"Coach Road, Gorey",52.676108,-6.285363,Check local listings,,,Gorey,
Parkside,"Ballyduff Road, Camolin",52.614231,-6.43126,Check local listings,,,Camolin,
The Bridgend,"East Port, Ballyshannon",54.499804,-8.189988,Check local listings,,,Ballyshannon,
McAcculife's,,52.060179,-8.097954,Check local listings,,,Ballynoe,
Kiltale GAA Clubhouse,,53.52367,-6.661223,Check local listings,,,Batterjohn,
Eleson House,,53.250859,-6.839774,Check local listings,,+353 45 860423,Kilmeague,
The Leap Inn,,53.239404,-6.855325,Check local listings,,+353 45 860226,Allen,Kildare
The Courthouse,"46, William Street, Lurgan",54.465623,-6.337057,Check local listings,,,Lurgan,
The Arches,,52.206849,-7.4221,Check local listings,,,Kilmacthomas,
J. Anderson,"Emily Square, Athy",52.992075,-6.983727,Check local listings,,,Athy,
Madigan’s,"19, O'Connell Street Upper, Dublin",53.35142,-6.26055,Check local listings,,,Dublin,
The Celt,"81, Talbot Street, Dublin",53.350573,-6.254887,Check local listings,,,Dublin,
The Old Storehouse,"3, Crown Alley, Dublin",53.345132,-6.262675,"Mo-Fr 12:00-24:00, Fr,Sa 11:00-02:00, Su 11:00-24:00",https://theoldstorehouse.ie/,,Dublin,
Callanan,"24, George's Quay, Cork",51.895474,-8.472318,Check local listings,,,South Parish,
Brian Ború On The Hill,,52.813106,-8.437405,Check local listings,,,Ballina,
Morning Star,"17-19, Pottingers Entry, Belfast",54.59942,-5.926277,Check local listings,,,Belfast,
